id,limitlessCode,name,logo,cardCount
hgss4,TM,Triumphant,https://assets.tcgdex.net/en/hgss/hgss4/logo,102
A2a,,Triumphant Light,https://assets.tcgdex.net/en/tcgp/A2a/logo,75
sv06,TWM,Twilight Masquerade,https://assets.tcgdex.net/en/sv/sv06/logo,167
sm5,UPR,Ultra Prism,https://assets.tcgdex.net/en/sm/sm5/logo,156
sm10,UNB,Unbroken Bonds,https://assets.tcgdex.net/en/sm/sm10/logo,214
hgss3,UD,Undaunted,https://assets.tcgdex.net/en/hgss/hgss3/logo,90
sm11,UNM,Unified Minds,https://assets.tcgdex.net/en/sm/sm11/logo,236
hgss2,UL,Unleashed,https://assets.tcgdex.net/en/hgss/hgss2/logo,95
ex10,UF,Unseen Forces,https://assets.tcgdex.net/en/ex/ex10/logo,115
exu,,Unseen Forces Unown Collection,,28
swsh4,VIV,Vivid Voltage,https://assets.tcgdex.net/en/swsh/swsh4/logo,185
wp,,W Promotional,,7
sv10.5w,WHT,White Flare,https://assets.tcgdex.net/en/sv/sv10.5w/logo,86
A4,,Wisdom of Sea and Sky,https://assets.tcgdex.net/en/tcgp/A4/logo,161
basep,WP,Wizards Black Star Promos,https://assets.tcgdex.net/en/base/basep/logo,53
xy1,XY,XY,https://assets.tcgdex.net/en/xy/xy1/logo,146
xyp,XYP,XY Black Star Promos,https://assets.tcgdex.net/en/xy/xyp/logo,211
tk-xy-b,,XY trainer Kit (Bisharp),,30
tk-xy-latia,,XY trainer Kit (Latias),,30
tk-xy-latio,,XY trainer Kit (Latios),,30
tk-xy-n,,XY trainer Kit (Noivern),,30
tk-xy-p,,XY trainer Kit (Pikachu Libre),,30
tk-xy-su,,XY trainer Kit (Suicune),,30
tk-xy-sy,,XY trainer Kit (Sylveon),,30
tk-xy-w,,XY trainer Kit (Wigglytuff),,30
xya,,Yello A Alternate,,6
sma,,Yellow A Alternate,,94
